ingredient name,ttd id,gene ID,gene symbol
Theophylline,D0F8RA,2348,FOLR1
Theophylline,D0F8RA,4792,NFKBIA
Theophylline,D0F8RA,10919,EHMT2
Theophylline,D0F8RA,55234,SMU1
Theophylline,D0F8RA,64784,CRTC3
Theophylline,D0F8RA,1601,DAB2
Theophylline,D0F8RA,50807,ASAP1
Theophylline,D0F8RA,23710,GABARAPL1
Theophylline,D0F8RA,5925,RB1
Theophylline,D0F8RA,10800,CYSLTR1
Theophylline,D0F8RA,2916,GRM6
Theophylline,D0F8RA,64795,RMND5A
Theophylline,D0F8RA,3267,AGFG1
Theophylline,D0F8RA,51691,LSM8
Theophylline,D0F8RA,80179,MYO19
Theophylline,D0F8RA,80222,TARS2
Theophylline,D0F8RA,8780,RIOK3
Theophylline,D0F8RA,165215,FAM171B
Theophylline,D0F8RA,137994,LETM2
Theophylline,D0F8RA,3716,JAK1
Theophylline,D0F8RA,5771,PTPN2
Theophylline,D0F8RA,8428,STK24
Theophylline,D0F8RA,23420,NOMO1
Theophylline,D0F8RA,285761,DCBLD1
Theophylline,D0F8RA,79086,SMIM7
Theophylline,D0F8RA,546,ATRX
Theophylline,D0F8RA,4907,NT5E
Theophylline,D0F8RA,54916,TMEM260
Theophylline,D0F8RA,132612,ADAD1
Theophylline,D0F8RA,3569,IL6
Theophylline,D0F8RA,25909,AHCTF1
Theophylline,D0F8RA,7574,ZNF26
Theophylline,D0F8RA,4790,NFKB1
Theophylline,D0F8RA,5140,PDE3B
Theophylline,D0F8RA,3562,IL3
Theophylline,D0F8RA,55093,NTAQ1
Theophylline,D0F8RA,140,ADORA3
Theophylline,D0F8RA,54583,EGLN1
Theophylline,D0F8RA,91833,WDR20
Theophylline,D0F8RA,7542,ZFPL1
Theophylline,D0F8RA,7174,TPP2
Theophylline,D0F8RA,81533,ITFG1
Theophylline,D0F8RA,1543,CYP1A1
Theophylline,D0F8RA,9652,SKIC3
Theophylline,D0F8RA,55764,IFT122
Theophylline,D0F8RA,3065,HDAC1
Theophylline,D0F8RA,7016,TESK1
Theophylline,D0F8RA,9453,GGPS1
Theophylline,D0F8RA,80318,GKAP1
Theophylline,D0F8RA,595,CCND1
Theophylline,D0F8RA,54859,ELP6
Theophylline,D0F8RA,57020,VPS35L
Theophylline,D0F8RA,25816,TNFAIP8
Theophylline,D0F8RA,128486,FITM2
Theophylline,D0F8RA,8440,NCK2
Theophylline,D0F8RA,3611,ILK
Theophylline,D0F8RA,149041,RC3H1
Theophylline,D0F8RA,113510,HELQ
Theophylline,D0F8RA,222068,TMED4
Theophylline,D0F8RA,54869,EPS8L1
Theophylline,D0F8RA,1975,EIF4B
Theophylline,D0F8RA,10233,LRRC23
Theophylline,D0F8RA,3915,LAMC1
Theophylline,D0F8RA,5566,PRKACA
Theophylline,D0F8RA,5265,SERPINA1
Theophylline,D0F8RA,730094,MOSMO
Theophylline,D0F8RA,6402,SELL
Theophylline,D0F8RA,6879,TAF7
Theophylline,D0F8RA,8661,EIF3A
Theophylline,D0F8RA,8301,PICALM
Theophylline,D0F8RA,5532,PPP3CB
Theophylline,D0F8RA,727,C5
Theophylline,D0F8RA,140901,STK35
Theophylline,D0F8RA,957,ENTPD5
Theophylline,D0F8RA,127018,LYPLAL1
Theophylline,D0F8RA,29920,PYCR2
Theophylline,D0F8RA,57630,SH3RF1
Theophylline,D0F8RA,9939,RBM8A
Theophylline,D0F8RA,79364,ZXDC
Theophylline,D0F8RA,2570,GABRR2
Theophylline,D0F8RA,4835,NQO2
Theophylline,D0F8RA,2319,FLOT2
Theophylline,D0F8RA,8635,RNASET2
Theophylline,D0F8RA,29072,SETD2
Theophylline,D0F8RA,1845,DUSP3
Theophylline,D0F8RA,79838,TMC5
Theophylline,D0F8RA,9873,FCHSD2
Theophylline,D0F8RA,51010,EXOSC3
Theophylline,D0F8RA,10539,GLRX3
Theophylline,D0F8RA,136,ADORA2B
Theophylline,D0F8RA,2186,BPTF
Theophylline,D0F8RA,91746,YTHDC1
Theophylline,D0F8RA,596,BCL2
Theophylline,D0F8RA,84301,DDI2
