diseasename,icd-11,gene symbol
Asthma,CA23,NCRNA00102
Asthma,CA23,NDST4
Asthma,CA23,NECAB1
Asthma,CA23,NHLRC3
Asthma,CA23,NIN
Asthma,CA23,NLGN1
Asthma,CA23,NLRP3
Asthma,CA23,NOG
Asthma,CA23,NR5A2
Asthma,CA23,NRXN1
Asthma,CA23,OAZ1
Asthma,CA23,OCRL
Asthma,CA23,OFCC1
Asthma,CA23,OLFM3
Asthma,CA23,OPHN1
Asthma,CA23,OR2L13
Asthma,CA23,OTC
Asthma,CA23,OVOL2
Asthma,CA23,OXR1
Asthma,CA23,P2RY14
Asthma,CA23,PABPC3
Asthma,CA23,PAWR
Asthma,CA23,PCDH8
Asthma,CA23,PCDHB10
Asthma,CA23,PCDHB16
Asthma,CA23,PCDHB2
Asthma,CA23,PCDHB9
Asthma,CA23,PCDHGB7
Asthma,CA23,PCOLCE2
Asthma,CA23,PDS5B
Asthma,CA23,PF4V1
Asthma,CA23,PFN1
Asthma,CA23,PHF14
Asthma,CA23,PHYH
Asthma,CA23,PIAS2
Asthma,CA23,PITX2
Asthma,CA23,PLAUR
Asthma,CA23,PLEKHA8
Asthma,CA23,PLP1
Asthma,CA23,POSTN
Asthma,CA23,PPIC
Asthma,CA23,PRDX4
Asthma,CA23,PREX2
Asthma,CA23,PRG4
Asthma,CA23,PRKG1
Asthma,CA23,PRSS33
Asthma,CA23,PTH
Asthma,CA23,PTPRR
Asthma,CA23,PURG
Asthma,CA23,PWRN1
Asthma,CA23,RAB3IP
Asthma,CA23,RALGPS2
Asthma,CA23,RAVER2
Asthma,CA23,RBL1
Asthma,CA23,RBM20
Asthma,CA23,REEP1
Asthma,CA23,RGNEF
Asthma,CA23,RGS13
Asthma,CA23,RGS2
Asthma,CA23,RHAG
Asthma,CA23,RHOH
Asthma,CA23,RNASEK
Asthma,CA23,RNF128
Asthma,CA23,RNF180
Asthma,CA23,RPAP3
Asthma,CA23,RPE65
Asthma,CA23,RPGRIP1L
Asthma,CA23,RPL19
Asthma,CA23,RPL21
Asthma,CA23,RPL22
Asthma,CA23,RPL23
Asthma,CA23,RPL23A
Asthma,CA23,RPL27
Asthma,CA23,RPL28
Asthma,CA23,RPL30
Asthma,CA23,RPL31
Asthma,CA23,RPL32
Asthma,CA23,RPL37
Asthma,CA23,RPL37A
Asthma,CA23,RPL38
Asthma,CA23,RPL39
Asthma,CA23,RPL4
Asthma,CA23,RPL41
Asthma,CA23,RPL6
Asthma,CA23,RPL9
Asthma,CA23,RPLP1
Asthma,CA23,RPLP2
Asthma,CA23,RPS10
Asthma,CA23,RPS11
Asthma,CA23,RPS12
Asthma,CA23,RPS15A
Asthma,CA23,RPS20
Asthma,CA23,RPS23
Asthma,CA23,RPS25
Asthma,CA23,RPS27
Asthma,CA23,RPS29
Asthma,CA23,RPS3A
Asthma,CA23,RPS4X
Asthma,CA23,RPS4Y1
Asthma,CA23,RPSA
Asthma,CA23,S100A10
Asthma,CA23,S100A11
Asthma,CA23,S100A4
Asthma,CA23,S100A6
Asthma,CA23,S100A8
Asthma,CA23,S100A9
Asthma,CA23,SAT1
Asthma,CA23,SATB1
Asthma,CA23,SCD
Asthma,CA23,SCEL
Asthma,CA23,SCGB1A1
Asthma,CA23,SCN3A
Asthma,CA23,SDCBP
Asthma,CA23,SERPINA1
Asthma,CA23,SERPINB13
Asthma,CA23,SFTA3
Asthma,CA23,SGK1
Asthma,CA23,SH3BGRL3
Asthma,CA23,SH3GL2
Asthma,CA23,SH3KBP1
Asthma,CA23,SHCBP1
Asthma,CA23,SHISA3
Asthma,CA23,SI
Asthma,CA23,SKA1
Asthma,CA23,SLAMF7
Asthma,CA23,SLC17A1
Asthma,CA23,SLC17A4
Asthma,CA23,SLC17A8
Asthma,CA23,SLC25A21
Asthma,CA23,SLC25A31
Asthma,CA23,SLC26A3
Asthma,CA23,SLC2A3
Asthma,CA23,SLC47A1
Asthma,CA23,SLC4A10
Asthma,CA23,SLC6A1
Asthma,CA23,SLCO1A2
Asthma,CA23,SLITRK6
Asthma,CA23,SLMAP
Asthma,CA23,SOX2OT
Asthma,CA23,SOX30
Asthma,CA23,SPAG17
Asthma,CA23,SPARC
Asthma,CA23,SPINK1
Asthma,CA23,SPO11
Asthma,CA23,SPRED1
Asthma,CA23,ST8SIA1
Asthma,CA23,STK39
Asthma,CA23,STXBP4
Asthma,CA23,SUCLG2
Asthma,CA23,SUGT1
Asthma,CA23,SUGT1L1
Asthma,CA23,TAC1
Asthma,CA23,TCEA3
Asthma,CA23,TCEAL7
Asthma,CA23,TDRD3
Asthma,CA23,TECRL
Asthma,CA23,TFPI2
Asthma,CA23,THADA
Asthma,CA23,THBS1
Asthma,CA23,TIA1
Asthma,CA23,TIMM8A
Asthma,CA23,TLR7
Asthma,CA23,TMEM35
Asthma,CA23,TMPRSS15
Asthma,CA23,TMSB10
Asthma,CA23,TMSB4X
Asthma,CA23,TNFAIP3
Asthma,CA23,TPT1
Asthma,CA23,TRAF1
Asthma,CA23,TREM1
Asthma,CA23,TRHDE
Asthma,CA23,TRIM58
Asthma,CA23,TSC22D3
Asthma,CA23,TSEN2
Asthma,CA23,TXNIP
Asthma,CA23,TYR
Asthma,CA23,TYROBP
Asthma,CA23,TYRP1
Asthma,CA23,UBA52
Asthma,CA23,UBB
Asthma,CA23,UBC
Asthma,CA23,UBE2CBP
Asthma,CA23,UGT2A3
Asthma,CA23,UGT2B4
Asthma,CA23,USP25
Asthma,CA23,VEGFA
Asthma,CA23,VGLL3
Asthma,CA23,VIP
Asthma,CA23,YBX1
Asthma,CA23,ZC3HAV1L
Asthma,CA23,ZDHHC15
Asthma,CA23,ZFP2
Asthma,CA23,ZFP36
Asthma,CA23,ZNF208
Asthma,CA23,ZNF214
Asthma,CA23,ZNF29P
Asthma,CA23,ZNF546
Asthma,CA23,ZNF578
Asthma,CA23,ZNF620
Asthma,CA23,ZNF709
Asthma,CA23,ZNF711
Asthma,CA23,ZNF780A
Asthma,CA23,ZNF876P
Asthma,CA23,ZNF99
Asthma,CA23,ZSCAN4
Asthma,CA23,ZYG11B
Asthma,CA23,CYTSA
Asthma,CA23,PALM2-AKAP2
Asthma,CA23,CCL3L1
Asthma,CA23,LOC284214
Asthma,CA23,EEF1A1P24
Asthma,CA23,EEF1A1P9
Asthma,CA23,FCGR3B
Asthma,CA23,KRTAP21-1
Asthma,CA23,GABARAPL3
Asthma,CA23,LOC440926
Asthma,CA23,LOC441528
Asthma,CA23,HLA-DQA2
Asthma,CA23,HLA-DRB3
Asthma,CA23,HLA-DRB4
Asthma,CA23,HNRNPA3P1
Asthma,CA23,IGKC
Asthma,CA23,LRRC70
Asthma,CA23,LOC100288765
Asthma,CA23,RPL13A
Asthma,CA23,LOC441259
Asthma,CA23,VSTM2A
Asthma,CA23,LOC389906
Asthma,CA23,MYL12B
Asthma,CA23,SNORA21
Asthma,CA23,RPL31P11
Asthma,CA23,SUGT1P1
Asthma,CA23,TMSL3
Asthma,CA23,ZNF780B
Asthma,CA23,CCL3L3
Asthma,CA23,LOC731932
Asthma,CA23,LOC652694
Asthma,CA23,LOC441666
Asthma,CA23,RPL13AP20
Asthma,CA23,PMS2
Asthma,CA23,LOC729162
Asthma,CA23,HLA-DRB5
Asthma,CA23,LOC728566
Asthma,CA23,RPL13AP3
Asthma,CA23,PMS2L1
Asthma,CA23,LOC100133661
Asthma,CA23,RPL13AP5
Asthma,CA23,PMS2L14
Asthma,CA23,LOC100294036
Asthma,CA23,RPL13AP6
Asthma,CA23,PMS2L2
Asthma,CA23,PMS2L5
