disease name,icde-11,gene symbol
Type 2 diabetes mellitus,5A11,HLA-DMA
Type 2 diabetes mellitus,5A11,ZG16B
Type 2 diabetes mellitus,5A11,COL6A3
Type 2 diabetes mellitus,5A11,C11orf96
Type 2 diabetes mellitus,5A11,ADAM28
Type 2 diabetes mellitus,5A11,OLFM4
Type 2 diabetes mellitus,5A11,S100A4
Type 2 diabetes mellitus,5A11,CACNA2D3
Type 2 diabetes mellitus,5A11,TNFAIP2
Type 2 diabetes mellitus,5A11,COL15A1
Type 2 diabetes mellitus,5A11,PDE4A
Type 2 diabetes mellitus,5A11,LYZ
Type 2 diabetes mellitus,5A11,FGB
Type 2 diabetes mellitus,5A11,PHACTR3
Type 2 diabetes mellitus,5A11,CFB
Type 2 diabetes mellitus,5A11,GBP3
Type 2 diabetes mellitus,5A11,IGFBP2
Type 2 diabetes mellitus,5A11,MS4A6A
Type 2 diabetes mellitus,5A11,C6orf58
Type 2 diabetes mellitus,5A11,IFI16
Type 2 diabetes mellitus,5A11,CTSE
Type 2 diabetes mellitus,5A11,LY86
Type 2 diabetes mellitus,5A11,BRINP1
Type 2 diabetes mellitus,5A11,MS4A7
Type 2 diabetes mellitus,5A11,RGS1
Type 2 diabetes mellitus,5A11,SPOCK1
Type 2 diabetes mellitus,5A11,ALDH1A3
Type 2 diabetes mellitus,5A11,GPR183
Type 2 diabetes mellitus,5A11,REG3A
Type 2 diabetes mellitus,5A11,CYP1B1
Type 2 diabetes mellitus,5A11,PLA2G7
Type 2 diabetes mellitus,5A11,CSF2RB
Type 2 diabetes mellitus,5A11,CD53
Type 2 diabetes mellitus,5A11,LOC100506107
Type 2 diabetes mellitus,5A11,LOC100996760
Type 2 diabetes mellitus,5A11,RARRES1
Type 2 diabetes mellitus,5A11,IGKC
Type 2 diabetes mellitus,5A11,LOC102723886
Type 2 diabetes mellitus,5A11,FCER1G
Type 2 diabetes mellitus,5A11,OSMR
Type 2 diabetes mellitus,5A11,TGIF1
Type 2 diabetes mellitus,5A11,C1S
Type 2 diabetes mellitus,5A11,VSIG4
Type 2 diabetes mellitus,5A11,TFEC
Type 2 diabetes mellitus,5A11,VSTM2A
Type 2 diabetes mellitus,5A11,MGST1
Type 2 diabetes mellitus,5A11,LOC100130331
Type 2 diabetes mellitus,5A11,SLC4A4
Type 2 diabetes mellitus,5A11,CD84
Type 2 diabetes mellitus,5A11,CASP1
Type 2 diabetes mellitus,5A11,WNT5A
Type 2 diabetes mellitus,5A11,PDGFRA
Type 2 diabetes mellitus,5A11,PDPN
Type 2 diabetes mellitus,5A11,HK2
Type 2 diabetes mellitus,5A11,SLPI
Type 2 diabetes mellitus,5A11,CALCB
Type 2 diabetes mellitus,5A11,C1R
Type 2 diabetes mellitus,5A11,BAI3
Type 2 diabetes mellitus,5A11,LPCAT2
Type 2 diabetes mellitus,5A11,SERPING1
Type 2 diabetes mellitus,5A11,IL7R
Type 2 diabetes mellitus,5A11,GAS2L3
Type 2 diabetes mellitus,5A11,IGJ
Type 2 diabetes mellitus,5A11,KDM5D
Type 2 diabetes mellitus,5A11,PSAT1
